Date,Time,Weight
2/12/2015,6:00,158.4
2/13/2015,7:00,157.4
2/14/2015,9:00,155.4
2/15/2015,9:00,156.4
2/16/2015,6:15,156.8
2/17/2015,6:00,157.6
2/18/2015,6:00,158.0
2/19/2015,6:00,157.4
2/20/2015,7:00,157.8
2/21/2015,9:00,157.4
2/22/2015,9:00,157.4
2/23/2015,6:00,159.0
2/24/2015,6:00,158.8
2/25/2015,6:00,159.0
2/26/2015,6:00,157.7
2/27/2015,7:00,158.4
2/28/2015,9:30,157.4
3/1/2015,7:30,160.6
3/2/2015,6:00,157.6
3/3/2015,6:00,159.8
3/4/2015,6:00,159.2
3/5/2015,6:00,160.8
3/6/2015,7:00,160.6
3/7/2015,10:00,158.8
3/8/2015,10:30,158.2
3/9/2015,6:00,159.2
3/10/2015,6:15,159.2
3/11/2015,6:00,159.8
3/12/2015,6:00,160.0
3/13/2015,7:00,159.2
3/14/2015,8:45,160.4
3/15/2015,9:00,158.8
3/16/2015,6:00,158.4
3/17/2015,6:00,161.8
3/18/2015,6:00,160.2
3/19/2015,6:00,161.8
3/20/2015,7:00,160.4
3/21/2015,9:30,161.2
3/22/2015,9:00,162.4
3/23/2015,6:00,162.2
3/24/2015,6:00,162.4
3/25/2015,6:00,160.4
3/26/2015,6:00,160.8
3/27/2015,7:00,160.6
3/28/2015,8:00,159.8
3/29/2015,10:00,158.2
3/30/2015,6:00,160.8
3/31/2015,6:00,160.8
4/1/2015,6:00,160.4
4/2/2015,6:15,162.2
4/3/2015,7:00,161.2
4/4/2015,9:00,164.2
4/5/2015,8:30,163.8
4/6/2015,6:00,163.6
4/7/2015,6:00,163.2
4/8/2015,6:00,162.4
4/9/2015,6:00,161.8
4/10/2015,7:00,161.0
4/11/2015,9:00,161.4
4/12/2015,9:30,162.2
4/13/2015,6:00,161.8
4/14/2015,6:00,163.4
4/15/2015,6:00,162.6
4/16/2015,6:00,161.4
4/17/2015,7:00,163.0
4/18/2015,,163.0
4/19/2015,,161.4
4/20/2015,6:00,161.4
4/21/2015,6:00,163.4
4/22/2015,6:00,163.0
4/23/2015,6:00,161.8
4/24/2015,7:00,160.8
4/25/2015,9:30,159.8
4/26/2015,9:30,163.4
4/27/2015,6:00,163.4
4/28/2015,6:00,164.0
4/29/2015,6:00,162.2
4/30/2015,6:00,160.4
5/1/2015,7:00,161.4
5/2/2015,9:00,162.2
5/3/2015,6:30,163.0
5/4/2015,6:00,163.0
5/5/2015,6:00,164.8
5/6/2015,6:00,163.2
5/7/2015,7:30,162.4
5/8/2015,7:00,161.4
5/9/2015,7:00,161.2
5/10/2015,8:30,162.0
5/11/2015,8:00,161.0
5/12/2015,8:30,161.0
5/13/2015,7:00,160.2
5/14/2015,7:00,159.8
5/15/2015,7:00,161.2
5/16/2015,8:45,161.8
5/17/2015,6:30,163.0
5/18/2015,6:00,163.0
5/19/2015,10:00,162.2
5/20/2015,6:00,161.0
5/21/2015,6:00,162.2
5/22/2015,9:15,160.4
5/23/2015,9:15,160.2
5/24/2015,6:30,159.0
5/25/2015,9:15,160.2
5/26/2015,6:00,163.0
5/27/2015,6:00,163.0
5/28/2015,6:00,163.6
5/29/2015,7:00,163.0
5/30/2015,9:45,161.8
5/31/2015,9:15,162.4
6/1/2015,6:00,162.0
6/2/2015,5:45,163.0
6/3/2015,6:00,163.6
6/4/2015,6:00,162.4
6/5/2015,7:00,160.8
6/6/2015,,160.8
6/7/2015,,166.4
6/8/2015,6:00,166.4
6/9/2015,6:00,165.2
6/10/2015,6:00,162.8
6/11/2015,6:00,162.2
6/12/2015,7:00,162.8
6/13/2015,7:00,160.8
6/14/2015,,160.8
6/15/2015,6:00,164.0
6/16/2015,6:00,164.6
6/17/2015,6:00,162.4
6/18/2015,5:45,161.4
6/19/2015,8:30,162.2
6/20/2015,10:30,160.8
6/21/2015,6:30,161.4
6/22/2015,6:00,161.2
6/23/2015,6:00,162.8
6/24/2015,5:30,162.4
6/25/2015,6:00,162.6
6/26/2015,5:30,161.4
6/27/2015,9:45,159.2
6/28/2015,6:30,159.8
6/29/2015,6:00,158.8
6/30/2015,6:00,160.6
7/1/2015,6:00,160.8
7/2/2015,6:00,161.4
7/3/2015,8:00,159.8
7/4/2015,8:00,160.6
7/5/2015,6:30,160.2
7/6/2015,6:00,160.4
7/7/2015,6:00,161.2
7/8/2015,5:30,161.4
7/9/2015,6:00,160.4
7/10/2015,5:30,160.2
7/11/2015,9:00,159.4
7/12/2015,6:45,162.0
7/13/2015,6:00,159.2
7/14/2015,6:00,162.0
7/15/2015,6:00,160.0
7/16/2015,6:00,160.6
7/17/2015,7:00,159.8
7/18/2015,8:00,158.4
7/19/2015,9:30,157.4
7/20/2015,6:00,160.2
7/21/2015,6:00,161.4
7/22/2015,6:00,161.6
7/23/2015,6:00,160.8
7/24/2015,7:00,161.0
7/25/2015,9:15,159.2
7/26/2015,6:30,160.8
7/27/2015,6:00,159.4
7/28/2015,6:00,161.4
7/29/2015,6:00,160.4
7/30/2015,6:00,159.4
7/31/2015,,159.4
8/1/2015,,159.5
8/2/2015,,159.6
8/3/2015,8:00,159.6
8/4/2015,6:00,158.2
8/5/2015,7:10,157.6
8/6/2015,6:00,157.2
8/7/2015,5:30,157.0
8/8/2015,10:00,158.0
8/9/2015,10:30,159.2
8/10/2015,6:00,158.4
8/11/2015,6:00,159.2
8/12/2015,6:00,159.2
8/13/2015,5:30,157.0
8/14/2015,5:30,157.2
8/15/2015,8:45,157.4
8/16/2015,6:30,157.2
8/17/2015,6:00,157.0
8/18/2015,6:00,157.2
8/19/2015,6:00,158.0
8/20/2015,6:00,157.4
8/21/2015,7:00,157.8
8/22/2015,7:30,155.6
8/23/2015,,155.8
8/24/2015,,156.0
8/25/2015,,156.2
8/26/2015,,156.4
8/27/2015,,156.6
8/28/2015,,156.6
8/29/2015,,156.6
8/30/2015,6:30,156.6
8/31/2015,6:00,156.4
9/1/2015,6:00,158.4
9/2/2015,5:30,157.0
9/3/2015,5:45,157.0
9/4/2015,7:00,157.0
9/5/2015,9:00,154.4
9/6/2015,6:30,156.4
9/7/2015,10:00,158.4
9/8/2015,6:00,158.2
9/9/2015,6:00,157.4
9/10/2015,6:00,157.4
9/11/2015,7:00,157.2
9/12/2015,9:00,156.6
9/13/2015,6:30,160.0
9/14/2015,6:00,159.0
9/15/2015,6:00,158.4
9/16/2015,7:00,158.4
9/17/2015,6:00,157.6
9/18/2015,7:15,158.2
9/19/2015,8:45,157.6
9/20/2015,6:30,157.6
9/21/2015,6:00,157.6
9/22/2015,6:00,159.0
9/23/2015,6:00,158.0
9/24/2015,6:00,156.8
9/25/2015,5:45,154.8
9/26/2015,7:45,154.4
9/27/2015,9:45,156.2
9/28/2015,6:00,156.2
9/29/2015,6:00,156.4
9/30/2015,6:00,156.4
10/1/2015,6:00,156.4
10/2/2015,7:00,156.8
10/3/2015,9:00,155.8
10/4/2015,9:30,156.2
10/5/2015,6:00,156.6
10/6/2015,6:00,158.8
10/7/2015,6:00,157.0
10/8/2015,7:00,157.0
10/9/2015,7:00,156.4
10/10/2015,9:15,156.0
10/11/2015,,156.2
10/12/2015,6:00,156.4
10/13/2015,6:00,155.8
10/14/2015,6:00,155.8
10/15/2015,7:00,154.8
10/16/2015,7:00,156.4
10/17/2015,8:45,155.8
10/18/2015,8:00,153.8
10/19/2015,6:00,154.4
10/20/2015,6:00,156.6
10/21/2015,6:00,156.4
10/22/2015,6:30,153.6
10/23/2015,7:00,155.0
10/24/2015,9:30,155.0
10/25/2015,8:00,157.2
10/26/2015,6:00,155.4
10/27/2015,6:00,155.8
10/28/2015,6:00,156.4
10/29/2015,6:45,155.4
10/30/2015,8:45,155.0
10/31/2015,,155.0
11/1/2015,,155.0
11/2/2015,,154.8
11/3/2015,,154.6
11/4/2015,,154.4
11/5/2015,6:00,154.2
11/6/2015,7:00,156.4
11/7/2015,8:00,154.2
11/8/2015,8:45,155.2
11/9/2015,6:00,153.2
11/10/2015,6:00,153.4
11/11/2015,6:00,155.0
11/12/2015,6:00,154.6
11/13/2015,7:00,154.0
11/14/2015,8:15,154.6
11/15/2015,8:00,153.8
11/16/2015,6:00,152.8
11/17/2015,6:00,154.2
11/18/2015,,154.2
11/19/2015,,154.2
11/20/2015,7:00,154.2
11/21/2015,8:15,154.2
11/22/2015,9:15,155.4
11/23/2015,6:00,155.8
11/24/2015,6:00,155.8
11/25/2015,6:00,157.2
11/26/2015,9:15,155.6
11/27/2015,9:00,155.4
11/28/2015,8:00,156.4
11/29/2015,8:00,156.6
11/30/2015,6:00,156.0
12/1/2015,6:00,156.0
12/2/2015,6:00,157.2
12/3/2015,6:00,157.6
12/4/2015,7:00,157.6
12/5/2015,8:30,158.4
